VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-03-01 09:34:15,2016-03-01 09:52:42,1,1.50,-73.972267150878906,40.75372314453125,1,N,-73.95526123046875,40.765529632568359,1,12,0,0.5,3.84,0,0.3,16.64
1,2016-03-01 09:34:15,2016-03-01 10:25:18,1,7.30,-73.941917419433594,40.843238830566406,1,N,-73.993499755859375,40.757205963134766,2,36,0,0.5,0,0,0.3,36.8
2,2016-03-01 09:34:15,2016-03-01 09:58:03,1,2.58,-74.002853393554687,40.760421752929688,1,N,-73.991203308105469,40.732620239257813,2,16,0,0.5,0,0,0.3,16.8
2,2016-03-01 09:34:15,2016-03-01 09:55:53,1,2.53,-73.986038208007813,40.777492523193359,1,N,-73.974624633789063,40.753181457519531,1,15.5,0,0.5,3.26,0,0.3,19.56
1,2016-03-01 09:34:16,2016-03-01 09:49:54,1,1.40,-74.007774353027344,40.731758117675781,1,N,-73.999069213867188,40.719646453857422,1,10.5,0,0.5,2.25,0,0.3,13.55
1,2016-03-01 09:34:16,2016-03-01 09:43:27,1,.60,-73.994529724121094,40.740928649902344,1,N,-73.98565673828125,40.741081237792969,1,7,0,0.5,1.55,0,0.3,9.35
2,2016-03-01 09:34:16,2016-03-01 09:43:00,1,1.05,-73.955108642578125,40.764911651611328,1,N,-73.961257934570313,40.774539947509766,1,7,0,0.5,1.56,0,0.3,9.36
1,2016-03-01 09:34:17,2016-03-01 09:46:57,2,1.70,-73.975120544433594,40.759037017822266,1,N,-73.959846496582031,40.779369354248047,1,9.5,0,0.5,2.05,0,0.3,12.35
2,2016-03-01 09:34:17,2016-03-01 09:56:28,1,9.69,-73.978080749511719,40.783309936523438,1,N,-73.870750427246094,40.773990631103516,1,28.5,0,0.5,6.97,5.54,0.3,41.81
2,2016-03-01 09:34:17,2016-03-01 09:43:32,6,.78,-73.968772888183594,40.754695892333984,1,N,-73.978736877441406,40.752735137939453,1,7,0,0.5,1,0,0.3,8.8
2,2016-03-01 09:34:17,2016-03-01 09:41:22,1,1.07,-73.992866516113281,40.742965698242188,1,N,-74.005577087402344,40.751041412353516,1,6.5,0,0.5,1.46,0,0.3,8.76
2,2016-03-01 09:34:17,2016-03-01 09:50:17,6,1.89,-73.956398010253906,40.768020629882813,1,N,-73.981361389160156,40.767959594726562,1,9.5,0,0.5,2.06,0,0.3,12.36
1,2016-03-01 09:34:18,2016-03-01 09:53:49,1,2.60,-74.013931274414063,40.714962005615234,1,N,-73.991554260253906,40.729991912841797,1,13.5,0,0.5,2.85,0,0.3,17.15
1,2016-03-01 09:34:18,2016-03-01 09:56:46,1,2.60,-73.971138000488281,40.787807464599609,1,N,-73.970260620117187,40.759067535400391,1,15.5,0,0.5,3.26,0,0.3,19.56
1,2016-03-01 09:34:18,2016-03-01 09:51:14,2,2.10,-74.003227233886719,40.723991394042969,1,N,-73.993583679199219,40.749820709228516,1,12,0,0.5,2,0,0.3,14.8
1,2016-03-01 09:34:18,2016-03-01 09:43:15,1,.90,-73.988037109375,40.754390716552734,1,N,-73.984527587890625,40.745559692382813,1,7.5,0,0.5,1.65,0,0.3,9.95
2,2016-03-01 09:34:18,2016-03-01 09:41:57,2,.96,-74.002967834472656,40.728199005126953,1,N,-74.002433776855469,40.739849090576172,2,6.5,0,0.5,0,0,0.3,7.3
2,2016-03-01 09:34:18,2016-03-01 09:58:48,1,1.80,-73.995758056640625,40.764541625976562,1,N,-73.971763610839844,40.760990142822266,1,15,0,0.5,3.16,0,0.3,18.96
2,2016-03-01 09:34:18,2016-03-01 09:39:00,1,.66,-73.961448669433594,40.776035308837891,1,N,-73.952491760253906,40.774734497070312,1,5,0,0.5,1.16,0,0.3,6.96
2,2016-03-01 09:34:18,2016-03-01 09:49:26,1,6.93,-73.871185302734375,40.773853302001953,1,N,-73.931541442871094,40.789012908935547,2,20,0,0.5,0,5.54,0.3,26.34
2,2016-03-01 09:34:18,2016-03-01 09:51:09,2,2.33,-73.972709655761719,40.785545349121094,1,N,-73.969963073730469,40.760883331298828,1,12.5,0,0.5,2.66,0,0.3,15.96
1,2016-03-01 09:34:19,2016-03-01 09:42:34,1,2.00,-73.977302551269531,40.729263305664063,1,N,-73.969459533691406,40.752937316894531,1,9,0,0.5,2.45,0,0.3,12.25
1,2016-03-01 09:34:19,2016-03-01 09:50:16,1,2.20,-74.015617370605469,40.710826873779297,1,N,-73.997489929199219,40.724445343017578,1,12.5,0,0.5,2.65,0,0.3,15.95
1,2016-03-01 09:34:19,2016-03-01 09:47:40,1,2.00,-74.005897521972656,40.745166778564453,1,N,-73.99468994140625,40.769287109375,1,11,0,0.5,3,0,0.3,14.8
2,2016-03-01 09:34:19,2016-03-01 09:43:19,1,.70,-73.958541870117188,40.773887634277344,1,N,-73.965286254882813,40.772636413574219,2,7,0,0.5,0,0,0.3,7.8
2,2016-03-01 09:34:19,2016-03-01 09:52:33,1,2.70,-73.977302551269531,40.760658264160156,1,N,-73.961669921875,40.77984619140625,1,13.5,0,0.5,2.86,0,0.3,17.16
2,2016-03-01 09:34:19,2016-03-01 09:57:16,1,6.47,-73.963478088378906,40.768711090087891,1,N,-74.008071899414063,40.711978912353516,1,22,0,0.5,4.56,0,0.3,27.36
2,2016-03-01 09:34:19,2016-03-01 09:49:17,1,1.17,-73.971702575683594,40.748600006103516,1,N,-73.96990966796875,40.761489868164062,2,10,0,0.5,0,0,0.3,10.8
1,2016-03-01 09:34:20,2016-03-01 10:05:51,1,6.00,-73.953323364257813,40.771518707275391,1,N,-74.006721496582031,40.728656768798828,1,24.5,0,0.5,5.05,0,0.3,30.35
1,2016-03-01 09:34:20,2016-03-01 09:44:20,1,1.10,-73.979148864746094,40.744300842285156,1,N,-73.96990966796875,40.756179809570312,1,8,0,0.5,1.2,0,0.3,10
1,2016-03-01 09:34:20,2016-03-01 09:36:55,1,.50,0,0,1,N,-73.985740661621094,40.746570587158203,1,4,0,0.5,1,0,0.3,5.8
2,2016-03-01 09:34:20,2016-03-01 10:08:11,1,3.42,-73.989936828613281,40.732891082763672,1,N,-73.98455810546875,40.769611358642578,1,21.5,0,0.5,7.7,0,0.3,30
2,2016-03-01 09:34:20,2016-03-01 09:46:37,4,1.27,-73.961860656738281,40.776241302490234,1,N,-73.97442626953125,40.761680603027344,2,9,0,0.5,0,0,0.3,9.8
2,2016-03-01 09:34:20,2016-03-01 09:45:45,2,.86,-73.982650756835938,40.745090484619141,1,N,-73.993331909179687,40.741550445556641,1,8.5,0,0.5,1.86,0,0.3,11.16
2,2016-03-01 09:34:20,2016-03-01 09:44:17,1,.88,-73.985328674316406,40.763179779052734,1,N,-73.973060607910156,40.764118194580078,1,7.5,0,0.5,2.08,0,0.3,10.38
2,2016-03-01 09:34:20,2016-03-01 09:47:28,1,1.10,-74.002883911132813,40.719963073730469,1,N,-74.010169982910156,40.709190368652344,1,9,0,0.5,1.96,0,0.3,11.76
1,2016-03-01 09:34:21,2016-03-01 10:05:14,1,7.00,-74.000823974609375,40.676052093505859,1,N,-73.995857238769531,40.768863677978516,1,26,0,0.5,6.45,5.54,0.3,38.79
1,2016-03-01 09:34:21,2016-03-01 09:46:41,1,1.20,-73.983001708984375,40.747859954833984,1,N,-73.971611022949219,40.762271881103516,1,9,0,0.5,2.9,0,0.3,12.7
1,2016-03-01 09:34:21,2016-03-01 09:39:26,1,1.10,-73.978782653808594,40.753089904785156,1,N,-73.991874694824219,40.737972259521484,2,6,0,0.5,0,0,0.3,6.8
2,2016-03-01 09:34:21,2016-03-01 09:45:10,1,.82,-73.976058959960937,40.759918212890625,1,N,-73.986320495605469,40.756340026855469,1,8,0,0.5,1.76,0,0.3,10.56
2,2016-03-01 09:34:21,2016-03-01 09:40:56,1,1.31,-73.978103637695313,40.753143310546875,1,N,-73.989913940429687,40.741680145263672,1,7,0,0.5,1.56,0,0.3,9.36
2,2016-03-01 09:34:21,2016-03-01 09:41:14,1,1.14,-73.99542236328125,40.745601654052734,1,N,-74.008903503417969,40.73931884765625,1,6.5,0,0.5,2.19,0,0.3,9.49
2,2016-03-01 09:34:21,2016-03-01 09:40:19,1,1.06,-73.965507507324219,40.759349822998047,1,N,-73.971420288085938,40.746761322021484,2,6,0,0.5,0,0,0.3,6.8
2,2016-03-01 09:34:21,2016-03-01 09:41:19,1,1.63,-73.873291015625,40.774055480957031,1,N,-73.892906188964844,40.763893127441406,1,7.5,0,0.5,1.66,0,0.3,9.96
2,2016-03-01 09:34:21,2016-03-01 09:38:54,1,.69,-73.965400695800781,40.762844085693359,1,N,-73.963050842285156,40.770797729492188,1,5,0,0.5,0.85,0,0.3,6.65
2,2016-03-01 09:34:21,2016-03-01 09:46:46,5,1.49,-73.97900390625,40.750068664550781,1,N,-73.97808837890625,40.734024047851563,1,9.5,0,0.5,2,0,0.3,12.3
1,2016-03-01 09:34:22,2016-03-01 10:11:00,1,9.60,-73.86346435546875,40.769493103027344,1,N,-73.970268249511719,40.795658111572266,1,33,0,0.5,7.86,5.54,0.3,47.2
1,2016-03-01 09:34:22,2016-03-01 10:08:37,1,16.50,-73.97930908203125,40.740562438964844,2,N,-73.783485412597656,40.643672943115234,1,52,0,0.5,11.65,5.54,0.3,69.99
1,2016-03-01 09:34:22,2016-03-01 09:50:22,1,1.00,-73.982833862304688,40.75042724609375,1,N,-73.975425720214844,40.752262115478516,2,10.5,0,0.5,0,0,0.3,11.3
1,2016-03-01 09:34:22,2016-03-01 10:00:21,1,1.90,-73.990142822265625,40.772109985351562,1,N,-73.975784301757812,40.754138946533203,1,16.5,0,0.5,4.3,0,0.3,21.6
2,2016-03-01 09:34:22,2016-03-01 09:48:29,1,3.47,-74.015708923339844,40.712001800537109,1,N,-73.993080139160156,40.742931365966797,1,13.5,0,0.5,2.86,0,0.3,17.16
2,2016-03-01 09:34:22,2016-03-01 09:40:14,1,.79,-73.970619201660156,40.768775939941406,1,N,-73.982414245605469,40.773952484130859,1,6,0,0.5,0,0,0.3,6.8
1,2016-03-01 09:34:23,2016-03-01 09:47:10,1,2.40,-73.949821472167969,40.772079467773438,1,N,-73.977104187011719,40.757575988769531,2,11.5,0,0.5,0,0,0.3,12.3
2,2016-03-01 09:34:23,2016-03-01 09:43:14,1,1.04,-73.99224853515625,40.742576599121094,1,N,-73.976806640625,40.739089965820313,2,7.5,0,0.5,0,0,0.3,8.3
1,2016-03-01 09:34:24,2016-03-01 09:51:52,1,2.70,-73.98773193359375,40.728469848632813,1,N,-74.002876281738281,40.749496459960938,1,13.5,0,0.5,2.85,0,0.3,17.15
1,2016-03-01 09:34:24,2016-03-01 09:40:55,1,.80,0,0,1,N,0,0,2,6,0,0.5,0,0,0.3,6.8
2,2016-03-01 09:34:24,2016-03-01 09:40:11,1,1.02,-73.992362976074219,40.749370574951172,1,N,-74.006706237792969,40.748908996582031,2,6,0,0.5,0,0,0.3,6.8
2,2016-03-01 09:34:24,2016-03-01 09:42:36,1,1.07,-73.954864501953125,40.765762329101563,1,N,-73.969139099121094,40.763916015625,1,7,0,0.5,1.95,0,0.3,9.75
2,2016-03-01 09:34:24,2016-03-01 09:42:47,1,.79,-73.967292785644531,40.76934814453125,1,N,-73.959259033203125,40.780258178710938,2,6.5,0,0.5,0,0,0.3,7.3
2,2016-03-01 09:34:24,2016-03-01 09:42:35,1,2.07,-73.955604553222656,40.787937164306641,1,N,-73.980117797851563,40.778030395507812,2,8.5,0,0.5,0,0,0.3,9.3
2,2016-03-01 09:34:24,2016-03-01 09:56:49,1,3.13,-73.945503234863281,40.790328979492188,1,N,-73.964317321777344,40.783451080322266,2,14.5,0,0.5,0,0,0.3,15.3
2,2016-03-01 09:34:24,2016-03-01 09:44:07,4,1.51,-73.978240966796875,40.756515502929687,1,N,-73.990119934082031,40.737537384033203,2,8.5,0,0.5,0,0,0.3,9.3
