#states step:0
#current participants:
3	ParticipantState.working	task7	[-73.99822235107422, 40.72013854980469]	[-73.97063340128366, 40.74962457054193]	[-73.99822235107422, 40.72013854980469]	0.0	0.0103803859499	
4	ParticipantState.available	NULL	[-74.01506175255318, 40.72209720109538]	[-74.1772, 40.6915]	[-73.9965, 40.7256]	0.0188893689151	0.015	
#current running_schedules: 3
task7	TaskState.picked	3	[-73.99822235107422, 40.72013854980469]	[-73.99822235107422, 40.72013854980469]	[-73.97673034667969, 40.739288330078125]	1.0	2.11	9.5	0	0.0287857662294	
task9	TaskState.picking	0	[-73.97628784179688, 40.75897979736328]	[-73.97628784179688, 40.75897979736328]	[-73.97701263427734, 40.74684143066406]	1.0	1.15	6.5	0	0.0121599864418	
task10	TaskState.picking	1	[-73.96282958984375, 40.77537155151367]	[-73.96282958984375, 40.77537155151367]	[-73.96505737304688, 40.76310348510742]	1.0	1.0	7.5	0	0.0124686996655	
#current pending_schedules: 1
task11	TaskState.pending	-1	[-74.00398254394531, 40.72080993652344]	[-74.00398254394531, 40.72080993652344]	[-73.98056030273438, 40.78667068481445]	1.0	5.67	27.0	0	0.0699016419607	
#current finished_schedules: 7
task1	TaskState.finished	3	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task2	TaskState.finished	2	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task3	TaskState.finished	0	[-73.98974609375, 40.75674819946289]	[-73.98974609375, 40.75674819946289]	[-73.97563171386719, 40.76338577270508]	1.0	1.2	7.5	1	0.0155972144315	
task4	TaskState.finished	3	[-73.97471618652344, 40.756141662597656]	[-73.97471618652344, 40.756141662597656]	[-73.97882080078125, 40.7559928894043]	1.0	0.51	5.5	1	0.00410730954135	
task5	TaskState.finished	1	[-73.95618438720703, 40.779815673828125]	[-73.95618438720703, 40.779815673828125]	[-73.97400665283203, 40.784698486328125]	1.0	1.26	7.0	1	0.0184790424513	
task6	TaskState.finished	0	[-73.99114990234375, 40.7595329284668]	[-73.99114990234375, 40.7595329284668]	[-73.99590301513672, 40.74005889892578]	1.0	1.76	15.0	1	0.0200456954927	
task8	TaskState.finished	2	[-73.99427795410156, 40.75093078613281]	[-73.99427795410156, 40.75093078613281]	[-73.96942138671875, 40.749176025390625]	1.0	1.7	13.0	1	0.0249184294713	
#total reward:0.145275491443

#states step:11
#current participants:
0	ParticipantState.working	task9	[-73.97718942466894, 40.758435180577486]	[-74.00286801952696, 40.74292357956025]	[-73.97628784179688, 40.75897979736328]	0.00105330865304	0.015	
1	ParticipantState.working	task10	[-73.98399435959777, 40.75228099066884]	[-73.99412981846733, 40.74122330223483]	[-73.96282958984375, 40.77537155151367]	0.0313228587276	0.015	
2	ParticipantState.available	NULL	[-73.99242009617092, 40.75001311708381]	[-74.0011856639896, 40.737840819814366]	[-73.9835, 40.7624]	0.0152644352689	0.015	
3	ParticipantState.available	NULL	[-73.97063340128366, 40.74962457054193]	[-73.97063340128366, 40.74962457054193]	[-73.975, 40.7617]	0.012840684598	0.0	
4	ParticipantState.working	task11	[-74.0003219118762, 40.72487876483133]	[-74.0003219118762, 40.72487876483133]	[-74.00398254394531, 40.72080993652344]	0.00547317010009	0.015	
#current running_schedules: 3
task9	TaskState.picking	0	[-73.97628784179688, 40.75897979736328]	[-73.97628784179688, 40.75897979736328]	[-73.97701263427734, 40.74684143066406]	1.0	1.15	6.5	0	0.0121599864418	
task10	TaskState.picking	1	[-73.96282958984375, 40.77537155151367]	[-73.96282958984375, 40.77537155151367]	[-73.96505737304688, 40.76310348510742]	1.0	1.0	7.5	0	0.0124686996655	
task11	TaskState.picking	4	[-74.00398254394531, 40.72080993652344]	[-74.00398254394531, 40.72080993652344]	[-73.98056030273438, 40.78667068481445]	1.0	5.67	27.0	0	0.0699016419607	
#current pending_schedules: 1
task12	TaskState.pending	-1	[-74.00782012939453, 40.73172378540039]	[-74.00782012939453, 40.73172378540039]	[-73.9954605102539, 40.749298095703125]	6.0	1.43	8.5	0	0.0214852639713	
#current finished_schedules: 8
task1	TaskState.finished	3	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task2	TaskState.finished	2	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task3	TaskState.finished	0	[-73.98974609375, 40.75674819946289]	[-73.98974609375, 40.75674819946289]	[-73.97563171386719, 40.76338577270508]	1.0	1.2	7.5	1	0.0155972144315	
task4	TaskState.finished	3	[-73.97471618652344, 40.756141662597656]	[-73.97471618652344, 40.756141662597656]	[-73.97882080078125, 40.7559928894043]	1.0	0.51	5.5	1	0.00410730954135	
task5	TaskState.finished	1	[-73.95618438720703, 40.779815673828125]	[-73.95618438720703, 40.779815673828125]	[-73.97400665283203, 40.784698486328125]	1.0	1.26	7.0	1	0.0184790424513	
task6	TaskState.finished	0	[-73.99114990234375, 40.7595329284668]	[-73.99114990234375, 40.7595329284668]	[-73.99590301513672, 40.74005889892578]	1.0	1.76	15.0	1	0.0200456954927	
task7	TaskState.finished	3	[-73.99822235107422, 40.72013854980469]	[-73.99822235107422, 40.72013854980469]	[-73.97673034667969, 40.739288330078125]	1.0	2.11	9.5	1	0.0287857662294	
task8	TaskState.finished	2	[-73.99427795410156, 40.75093078613281]	[-73.99427795410156, 40.75093078613281]	[-73.96942138671875, 40.749176025390625]	1.0	1.7	13.0	1	0.0249184294713	
#total reward:0.186632790132

#states step:12
#current participants:
0	ParticipantState.working	task9	[-73.97628784179688, 40.75897979736328]	[-74.00286801952696, 40.74292357956025]	[-73.97628784179688, 40.75897979736328]	0.0	0.00105330865304	
